"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"106","pev_score","idp_settlement","3","yes",0.710144927536232,NA,0.662227511026172,0.758062344046292,"region","galgaduud"
"107","pev_score","idp_settlement","4","no",0.028436018957346,NA,0.00598852475711821,0.0508835131575737,"region","galgaduud"
"108","pev_score","idp_settlement","4","yes",0.133333333333333,NA,0.0974308191334123,0.169235847533254,"region","galgaduud"
"109","pev_score","idp_settlement","1","no",0.109004739336493,NA,0.066916752307588,0.151092726365398,"region","galgaduud"
"110","pev_score","idp_settlement","1","yes",0.0231884057971014,NA,0.00729304842294687,0.039083763171256,"region","galgaduud"
"111","pev_score","idp_settlement","2","no",0.353881278538813,NA,0.309071645744791,0.398690911332834,"region","mudug"
"112","pev_score","idp_settlement","2","yes",0.150997150997151,NA,0.113516348925009,0.188477953069293,"region","mudug"
"113","pev_score","idp_settlement","3","no",0.63013698630137,NA,0.584896801903783,0.675377170698956,"region","mudug"
"114","pev_score","idp_settlement","3","yes",0.780626780626781,NA,0.737307278842715,0.823946282410846,"region","mudug"
"115","pev_score","idp_settlement","4","no",0.0136986301369863,NA,0.00280607375206438,0.0245911865219082,"region","mudug"
"116","pev_score","idp_settlement","4","yes",0.0683760683760684,NA,0.0419554908643639,0.0947966458877728,"region","mudug"
"117","pev_score","idp_settlement","1","no",0.00228310502283105,NA,0,0.00675563269828807,"region","mudug"
"118","pev_score","idp_settlement","1","yes",0,NA,0,0,"region","mudug"
"119","pev_score","idp_settlement","3","no",0.572916666666667,NA,0.523418997693469,0.622414335639864,"region","banadir"
"120","pev_score","idp_settlement","3","yes",0.710413694721826,NA,0.676821840077186,0.744005549366466,"region","banadir"
"121","pev_score","idp_settlement","2","no",0.390625,NA,0.341804183249745,0.439445816750255,"region","banadir"
"122","pev_score","idp_settlement","2","yes",0.144079885877318,NA,0.118071847091981,0.170087924662655,"region","banadir"
"123","pev_score","idp_settlement","4","no",0.0182291666666667,NA,0.00484253920328772,0.0316157941300456,"region","banadir"
"124","pev_score","idp_settlement","4","yes",0.135520684736091,NA,0.110171184200842,0.160870185271341,"region","banadir"
"125","pev_score","idp_settlement","1","no",0.0182291666666667,NA,0.00484253920328774,0.0316157941300456,"region","banadir"
"126","pev_score","idp_settlement","1","yes",0.00998573466476462,NA,0.00262196751321621,0.017349501816313,"region","banadir"
"127","pev_score","idp_settlement","3","no",0.733905579399142,NA,0.693752358588772,0.774058800209511,"region","lower_shabelle"
"128","pev_score","idp_settlement","3","yes",0.888888888888889,NA,0.845081713106018,0.93269606467176,"region","lower_shabelle"
"129","pev_score","idp_settlement","4","no",0.00643776824034335,NA,0,0.0137046419774646,"region","lower_shabelle"
"130","pev_score","idp_settlement","4","yes",0.0656565656565657,NA,0.0311314516410476,0.100181679672084,"region","lower_shabelle"
"131","pev_score","idp_settlement","2","no",0.257510729613734,NA,0.217780125936777,0.29724133329069,"region","lower_shabelle"
"132","pev_score","idp_settlement","2","yes",0.0454545454545455,NA,0.0164190167863039,0.074490074122787,"region","lower_shabelle"
"133","pev_score","idp_settlement","1","no",0.00214592274678112,NA,0,0.00635050611351177,"region","lower_shabelle"
"134","pev_score","idp_settlement","1","yes",0,NA,0,0,"region","lower_shabelle"
"135","pev_score","idp_settlement","3","no",0.832844574780059,NA,0.793197860727592,0.872491288832525,"region","bay"
"136","pev_score","idp_settlement","3","yes",0.787878787878788,NA,0.707258132189208,0.868499443568368,"region","bay"
"137","pev_score","idp_settlement","4","no",0.0527859237536657,NA,0.0290258319477154,0.076546015559616,"region","bay"
"138","pev_score","idp_settlement","4","yes",0.212121212121212,NA,0.131500556431632,0.292741867810792,"region","bay"
"139","pev_score","idp_settlement","2","no",0.114369501466276,NA,0.0805516217076389,0.148187381224912,"region","bay"
"140","pev_score","idp_settlement","2","yes",0,NA,0,0,"region","bay"
"141","pev_score","idp_settlement","3","no",0.675355450236967,NA,0.630646401278809,0.720064499195124,"region","bakool"
"142","pev_score","idp_settlement","3","yes",0.782608695652174,NA,0.729261585879128,0.83595580542522,"region","bakool"
"143","pev_score","idp_settlement","4","no",0.0213270142180095,NA,0.00753241781096548,0.0351216106250535,"region","bakool"
"144","pev_score","idp_settlement","4","yes",0.169565217391304,NA,0.121032050852726,0.218098383929883,"region","bakool"
"145","pev_score","idp_settlement","2","no",0.265402843601896,NA,0.22324265195137,0.307563035252422,"region","bakool"
"146","pev_score","idp_settlement","2","yes",0.0478260869565217,NA,0.0202261531445641,0.0754260207684794,"region","bakool"
"147","pev_score","idp_settlement","1","no",0.037914691943128,NA,0.0196784340077518,0.0561509498785041,"region","bakool"
"148","pev_score","idp_settlement","1","yes",0,NA,0,0,"region","bakool"
"149","birth_where","idp_settlement","home","no",0.535211267605634,NA,0.453033389186773,0.617389146024495,"region","hiraan"
"150","birth_where","idp_settlement","home","yes",0.541666666666667,NA,0.460142905395774,0.62319042793756,"region","hiraan"
"151","birth_where","idp_settlement","health_center","no",0.190140845070423,NA,0.125485123443487,0.254796566697358,"region","hiraan"
"152","birth_where","idp_settlement","health_center","yes",0.138888888888889,NA,0.0823052621961558,0.195472515581622,"region","hiraan"
"153","birth_where","idp_settlement","traditional","no",0.225352112676056,NA,0.156511061574337,0.294193163777776,"region","hiraan"
"154","birth_where","idp_settlement","traditional","yes",0.3125,NA,0.236661664310381,0.388338335689619,"region","hiraan"
"155","birth_where","idp_settlement","dnk","no",0.028169014084507,NA,0.00090776820411706,0.055430259964897,"region","hiraan"
"156","birth_where","idp_settlement","dnk","yes",0,NA,0,0,"region","hiraan"
"157","birth_where","idp_settlement","no_birth","no",0.0211267605633803,NA,0,0.0448210772372663,"region","hiraan"
"158","birth_where","idp_settlement","no_birth","yes",0.00694444444444444,NA,0,0.0205317379895933,"region","hiraan"
